[key][2017-04-05 00:29:28:825]LuaManager初始化好了
[key][2017-04-05 00:29:28:928]GameMode:0
[key][2017-04-05 00:29:28:956]GameManager初始化好了，游戏正式开始。
[info][2017-04-05 00:30:45:160]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:30:45:677]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:30:52:919]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:30:53:876]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:30:53:936]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:30:53:965]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:30:53:987]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:30:54:238]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:30:54:777]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:30:57:964]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:30:58:180]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:30:59:081]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:30:59:221]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:31:02:191]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:31:02:199]CharacterStateType.ATTACK
[info][2017-04-05 00:31:02:440]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:31:03:000]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:31:10:339]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:31:11:618]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:31:12:278]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:31:17:820]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:31:17:999]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:31:18:521]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:31:24:722]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:31:24:739]CharacterStateType.ATTACK
[info][2017-04-05 00:31:24:916]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:31:25:999]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:31:30:358]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:31:30:936]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:31:31:978]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:31:32:257]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:31:33:978]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:31:38:348]Receive MSG: NetworkMsg  CMD_MAP_MATCH

[info][2017-04-05 00:31:43:961]Receive MSG: NetworkMsg  CMD_SITDOWN

[info][2017-04-05 00:31:44:821]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:31:45:877]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:31:47:302]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:31:47:317]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:31:47:858]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:31:48:899]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:31:49:561]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:31:50:941]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:31:51:076]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:31:51:820]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:31:52:441]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:31:56:513]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:31:56:566]Transform child out of bounds
[info][2017-04-05 00:31:56:585]  at (wrapper managed-to-native) UnityEngine.Transform:GetChild (int)
  at LuaFramework.LuaHelper.CreatePrefab (UnityEngine.Transform parent, System.String path, System.String name) [0x00069] in F:\123\CrazyTank\client\Assets\LuaFramework\Script\misc\LuaHelper.cs:927 
[info][2017-04-05 00:31:57:330]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:31:57:338]Transform child out of bounds
[info][2017-04-05 00:31:57:347]  at (wrapper managed-to-native) UnityEngine.Transform:GetChild (int)
  at LuaFramework.LuaHelper.CreatePrefab (UnityEngine.Transform parent, System.String path, System.String name) [0x00069] in F:\123\CrazyTank\client\Assets\LuaFramework\Script\misc\LuaHelper.cs:927 
[info][2017-04-05 00:31:57:840]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:31:57:908]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:31:57:923]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:31:57:938]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:31:58:170]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:31:58:184]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:31:58:195]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:31:58:203]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:31:58:209]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:31:58:216]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:31:58:222]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:31:58:228]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:31:58:234]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:31:58:238]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:31:58:277]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:31:58:401]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:31:58:447]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:31:58:726]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:31:58:732]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:31:58:737]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:31:58:747]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:31:59:854]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:32:03:461]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:32:04:196]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:32:04:480]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:32:05:017]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:32:08:919]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:32:10:742]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:32:11:504]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:32:16:440]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:32:17:220]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:32:17:760]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:32:20:538]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:32:21:136]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:32:21:480]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:32:22:042]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:32:26:260]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:32:27:021]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:32:27:316]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:32:27:856]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:32:31:479]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:32:32:616]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:32:32:820]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:32:33:897]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:32:36:639]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:32:37:385]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:32:37:658]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:32:38:721]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:32:42:039]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:32:42:141]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:32:43:580]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:32:43:980]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:32:44:301]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:32:44:836]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:32:47:776]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:32:48:361]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:32:48:758]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:32:49:701]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:32:53:138]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:32:54:257]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

